,stacked,name,annoline1,annoline3,objectid,annoangle,annoline2,borough,geometry,voronoi_polygon,neighbours
21,2,Ocean Hill,Ocean,,90,0.0,Hill,Brooklyn,"POLYGON ((-73.90734478159219 40.69339902745827, -73.90854501297571 40.67178523966869, -73.92040167818192 40.66946113289031, -73.92350458962932 40.68557484949351, -73.90949747199389 40.69423599438405, -73.90734478159219 40.69339902745827))","POLYGON ((-73.90734478159219 40.69339902745827, -73.90854501297571 40.67178523966869, -73.92040167818192 40.66946113289031, -73.92350458962932 40.68557484949351, -73.90949747199389 40.69423599438405, -73.90734478159219 40.69339902745827))","[10, 60, 79]"
22,2,Prospect Park South,Prospect,,94,0.0,Park South,Brooklyn,"POLYGON ((-73.9536479816676 40.64926117447126, -73.97059052305349 40.6411287496888, -73.97276159128559 40.64948518245938, -73.96754293843719 40.65865462834756, -73.9536479816676 40.64926117447126))","POLYGON ((-73.9536479816676 40.64926117447126, -73.97059052305349 40.6411287496888, -73.97276159128559 40.64948518245938, -73.96754293843719 40.65865462834756, -73.9536479816676 40.64926117447126))","[7, 8, 20]"
23,2,East Williamsburg,East,,97,0.0,Williamsburg,Brooklyn,"POLYGON ((-73.92009885261835 40.71897915353611, -73.93660100250833 40.69734984753821, -73.94786243202769 40.69890008115413, -73.94854916514592 40.70871042904577, -73.94776949488319 40.71501042014793, -73.94634829466413 40.71948930225722, -73.94015644847454 40.72387686806311, -73.92009694147828 40.71940171627823, -73.92009885261835 40.71897915353611))","POLYGON ((-73.92009885261835 40.71897915353611, -73.93660100250833 40.69734984753821, -73.94786243202769 40.69890008115413, -73.94854916514592 40.70871042904577, -73.94776949488319 40.71501042014793, -73.94634829466413 40.71948930225722, -73.94015644847454 40.72387686806311, -73.92009694147828 40.71940171627823, -73.92009885261835 40.71897915353611))","[3, 10, 11, 24, 25, 60]"
24,1,North Side,North Side,,98,0.0,,Brooklyn,"POLYGON ((-73.97055748034943 40.71107507691819, -73.96932694262016 40.72018159651986, -73.96437832679615 40.72484463841548, -73.94634829466413 40.71948930225722, -73.94776949488319 40.71501042014793, -73.96985018409978 40.71050879203931, -73.97055748034943 40.71107507691819))","POLYGON ((-73.97055748034943 40.71107507691819, -73.96932694262016 40.72018159651986, -73.96437832679615 40.72484463841548, -73.94634829466413 40.71948930225722, -73.94776949488319 40.71501042014793, -73.96985018409978 40.71050879203931, -73.97055748034943 40.71107507691819))","[3, 23, 25, 45, 76]"
25,1,South Side,South Side,,99,0.0,,Brooklyn,"POLYGON ((-73.94854916514592 40.70871042904577, -73.9688105446061 40.70933368717238, -73.96985018409978 40.71050879203931, -73.94776949488319 40.71501042014793, -73.94854916514592 40.70871042904577))","POLYGON ((-73.94854916514592 40.70871042904577, -73.9688105446061 40.70933368717238, -73.96985018409978 40.71050879203931, -73.94776949488319 40.71501042014793, -73.94854916514592 40.70871042904577))","[23, 24]"
26,1,Chinatown,Chinatown,,103,0.0,,Manhattan,"POLYGON ((-73.99203808588776 40.70916551183798, -73.99965496000895 40.70992375621292, -73.99980436119948 40.71419516626027, -73.99240221766179 40.72023876389823, -73.98755504489019 40.71653027961553, -73.98673623807062 40.7115204975773, -73.99203808588776 40.70916551183798))","POLYGON ((-73.99203808588776 40.70916551183798, -73.99965496000895 40.70992375621292, -73.99980436119948 40.71419516626027, -73.99240221766179 40.72023876389823, -73.98755504489019 40.71653027961553, -73.98673623807062 40.7115204975773, -73.99203808588776 40.70916551183798))","[45, 47, 69, 70, 80]"
27,2,Washington Heights,Washington,,104,0.0,Heights,Manhattan,"POLYGON ((-74.42294165543591 41.16724317472757, -74.13503237703314 41.00270405372067, -74.06778380876545 40.96070420579262, -73.9542128838161 40.8848047864337, -73.92656249493008 40.85731485528181, -73.92922188136619 40.84587357606375, -73.94171908681987 40.83704167572478, -73.98502787432345 40.85661240255478, -74.16959475523299 40.96473591973229, -74.33845900400516 41.06857122031847, -74.42294165543591 41.16724317472757))","POLYGON ((-74.42294165543591 41.16724317472757, -74.13503237703314 41.00270405372067, -74.06778380876545 40.96070420579262, -73.9542128838161 40.8848047864337, -73.92656249493008 40.85731485528181, -73.92922188136619 40.84587357606375, -73.94171908681987 40.83704167572478, -73.98502787432345 40.85661240255478, -74.16959475523299 40.96473591973229, -74.33845900400516 41.06857122031847, -74.42294165543591 41.16724317472757))","[0, 28, 29, 30, 51]"
28,1,Inwood,Inwood,,105,0.0,,Manhattan,"POLYGON ((-73.91756844044873 40.87406098043316, -73.9109071506026 40.86613460566262, -73.92012182043993 40.85781576952945, -73.92656249493008 40.85731485528181, -73.9542128838161 40.8848047864337, -73.91756844044873 40.87406098043316))","POLYGON ((-73.91756844044873 40.87406098043316, -73.9109071506026 40.86613460566262, -73.92012182043993 40.85781576952945, -73.92656249493008 40.85731485528181, -73.9542128838161 40.8848047864337, -73.91756844044873 40.87406098043316))",[27]
29,2,Hamilton Heights,Hamilton,,106,0.0,Heights,Manhattan,"POLYGON ((-73.95029344453133 40.81652646643838, -73.98502787432345 40.85661240255478, -73.94171908681987 40.83704167572478, -73.93674487650678 40.82802997548876, -73.95029344453133 40.81652646643838))","POLYGON ((-73.95029344453133 40.81652646643838, -73.98502787432345 40.85661240255478, -73.94171908681987 40.83704167572478, -73.93674487650678 40.82802997548876, -73.95029344453133 40.81652646643838))","[0, 27, 30, 31]"
30,2,Manhattanville,Manhattanville,,107,0.0,,Manhattan,"POLYGON ((-73.95029344453133 40.81652646643838, -73.95104090688102 40.80547142621217, -74.16959475523299 40.96473591973229, -73.98502787432345 40.85661240255478, -73.95029344453133 40.81652646643838))","POLYGON ((-73.95029344453133 40.81652646643838, -73.95104090688102 40.80547142621217, -74.16959475523299 40.96473591973229, -73.98502787432345 40.85661240255478, -73.95029344453133 40.81652646643838))","[27, 29, 31, 51]"
